ＳＶＭＰＯＬ,ＳＶＭＲＢＦ,ＳＢＭＬＲ,ＭＣｓＬＤＡ,ＭｃａｓＬＤＡ,ＦｕＬ
０．６４７,０．６９２,０．６４３,０．６４０,Ｎ／Ａ,Ｎ／Ａ
０．９７６,０．９７８,０．９８０,０．９８１,Ｎ／Ａ,Ｎ／Ａ
０．４９３,０．９３２,０．９１６,０．６６０,Ｎ／Ａ,Ｎ／Ａ
Ｎ／Ａ,Ｎ／Ａ,Ｎ／Ａ,Ｎ／Ａ,０．６７０,０．８４１
