视图类型,ＳＶＭＰＯＬ,ＳＶＭＲＢＦ,ＳＢＭＬＲ,ＭＣｓＬＤＡ,ＭｃａｓＬＤＡ,ＦｕＬ,ＭｖｓＬＤＡ
图像视图,０．７７９,０．８１１,０．７４８,０．７６６,Ｎ／Ａ,Ｎ／Ａ,０．７６８
文本视图,０．７８９,０．８７９,０．８６０,０．８９０,Ｎ／Ａ,Ｎ／Ａ,０．８９０
联合视图,０．８８９,０．８３７,０．７７８,０．７８９,Ｎ／Ａ,Ｎ／Ａ,０．７８９
多视图,Ｎ／Ａ,Ｎ／Ａ,Ｎ／Ａ,Ｎ／Ａ,０．７６８,０．８２２,０．９２２
