视图类型,SVM-POL,SVM-RBF,SBMLR,MC-sLDA,Mca-sLDA,Fu-L,Mv-sLDA
图像视图,0 . 647,0 . 692,0 . 643,0 . 640,N/A,N/A,0 . 639
文本视图,0 . 976,0 . 978,0 . 980,0 . 981,N/A,N/A,0 . 983
联合视图,0 . 493,0 . 932,0 . 916,0 . 660,N/A,N/A,0 . 662
多视图,N/A,N/A,N/A,N/A,0 . 670,0 . 841,0 . 990
